Dependency,Dependent,Fees,Devs
ethers-io,abracadabra,0.0033772013400961824,0.0
hardhat-nomicfoundation,abracadabra,0.0033772013400961824,0.0
openzeppelin,abracadabra,0.0033772013400961824,0.0
waffle-truefieng,abracadabra,0.0033772013400961824,0.0
ethers-io,abracadabra,0.0033772013400961824,0.0
hardhat-nomicfoundation,abracadabra,0.0033772013400961824,0.0
wighawag,abracadabra,0.0033772013400961824,0.0
prettier-solidity,abracadabra,0.0033772013400961824,0.0
typechain-dethcrypto,abracadabra,0.0033772013400961824,0.0
ethers-io,abracadabra,0.0033772013400961824,0.0
ethers-io,abracadabra,0.0033772013400961824,0.0
ethers-io,abracadabra,0.0033772013400961824,0.0
ethers-io,abracadabra,0.0033772013400961824,0.0
web3,abracadabra,0.0033772013400961824,0.0
hardhat-nomicfoundation,abracadabra,0.0033772013400961824,0.0
waffle-truefieng,abracadabra,0.0033772013400961824,0.0
ethers-io,abracadabra,0.0033772013400961824,0.0
hardhat-nomicfoundation,abracadabra,0.0033772013400961824,0.0
prettier-solidity,abracadabra,0.0033772013400961824,0.0
hardhat-nomicfoundation,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
waffle-truefieng,across,0.0773678866223499,0.0
ethers-io,across,0.0773678866223499,0.0
hardhat-nomicfoundation,across,0.0773678866223499,0.0
wighawag,across,0.0773678866223499,0.0
prettier-solidity,across,0.0773678866223499,0.0
typechain-dethcrypto,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
ethers-io,across,0.0773678866223499,0.0
hardhat-nomicfoundation,across,0.0773678866223499,0.0
typechain-dethcrypto,across,0.0773678866223499,0.0
hardhat-nomicfoundation,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
waffle-truefieng,across,0.0773678866223499,0.0
ethers-io,across,0.0773678866223499,0.0
hardhat-nomicfoundation,across,0.0773678866223499,0.0
wighawag,across,0.0773678866223499,0.0
prettier-solidity,across,0.0773678866223499,0.0
typechain-dethcrypto,across,0.0773678866223499,0.0
ethers-io,across,0.0773678866223499,0.0
ethers-io,across,0.0773678866223499,0.0
hardhat-nomicfoundation,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
ethers-io,across,0.0773678866223499,0.0
hardhat-nomicfoundation,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
waffle-truefieng,across,0.0773678866223499,0.0
ethers-io,across,0.0773678866223499,0.0
hardhat-nomicfoundation,across,0.0773678866223499,0.0
wighawag,across,0.0773678866223499,0.0
prettier-solidity,across,0.0773678866223499,0.0
typechain-dethcrypto,across,0.0773678866223499,0.0
ethers-io,across,0.0773678866223499,0.0
hardhat-nomicfoundation,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
openzeppelin,across,0.0773678866223499,0.0
waffle-truefieng,across,0.0773678866223499,0.0
ethers-io,across,0.0773678866223499,0.0
hardhat-nomicfoundation,across,0.0773678866223499,0.0
wighawag,across,0.0773678866223499,0.0
typechain-dethcrypto,across,0.0773678866223499,0.0
typechain-dethcrypto,acrypto-s,0.0002187129994317595,0.0
ethers-io,acrypto-s,0.0002187129994317595,0.0
hardhat-nomicfoundation,aelin,0.0015224235255226605,0.0
openzeppelin,aelin,0.0015224235255226605,0.0
usecannon,aelin,0.0015224235255226605,0.0
usecannon,aelin,0.0015224235255226605,0.0
waffle-truefieng,aelin,0.0015224235255226605,0.0
ethers-io,aelin,0.0015224235255226605,0.0
hardhat-nomicfoundation,aelin,0.0015224235255226605,0.0
prettier-solidity,aelin,0.0015224235255226605,0.0
typechain-dethcrypto,aelin,0.0015224235255226605,0.0
openzeppelin,aelin,0.0015224235255226605,0.0
typechain-dethcrypto,aelin,0.0015224235255226605,0.0
openzeppelin,aelin,0.0015224235255226605,0.0
typechain-dethcrypto,aelin,0.0015224235255226605,0.0
ethers-io,aelin,0.0015224235255226605,0.0
ethers-io,agoraxyz,0.0,0.0
ethers-io,agoraxyz,0.0,0.0
openzeppelin,agoraxyz,0.0,0.0
ethers-io,agoraxyz,0.0,0.0
hardhat-nomicfoundation,agoraxyz,0.0,0.0
prettier-solidity,agoraxyz,0.0,0.0
openzeppelin,agoraxyz,0.0,0.0
openzeppelin,agoraxyz,0.0,0.0
openzeppelin,agoraxyz,0.0,0.0
openzeppelin,agoraxyz,0.0,0.0
openzeppelin,agoraxyz,0.0,0.0
ethers-io,agoraxyz,0.0,0.0
hardhat-nomicfoundation,agoraxyz,0.0,0.0
prettier-solidity,agoraxyz,0.0,0.0
openzeppelin,agoraxyz,0.0,0.0
ethers-io,agoraxyz,0.0,0.0
hardhat-nomicfoundation,agoraxyz,0.0,0.0
prettier-solidity,agoraxyz,0.0,0.0
ethers-io,agoraxyz,0.0,0.0
ethers-io,agoraxyz,0.0,0.0
wagmi-dev,agoraxyz,0.0,0.0
wagmi-dev,agoraxyz,0.0,0.0
openzeppelin,agoraxyz,0.0,0.0
openzeppelin,agoraxyz,0.0,0.0
openzeppelin,agoraxyz,0.0,0.0
openzeppelin,agoraxyz,0.0,0.0
openzeppelin,agoraxyz,0.0,0.0
ethers-io,agoraxyz,0.0,0.0
hardhat-nomicfoundation,agoraxyz,0.0,0.0
prettier-solidity,agoraxyz,0.0,0.0
prettier-solidity,agoraxyz,0.0,0.0
openzeppelin,agoraxyz,0.0,0.0
ethers-io,agoraxyz,0.0,0.0
hardhat-nomicfoundation,agoraxyz,0.0,0.0
prettier-solidity,agoraxyz,0.0,0.0
ethers-io,agoraxyz,0.0,0.0
openzeppelin,agoraxyz,0.0,0.0
ethers-io,agoraxyz,0.0,0.0
hardhat-nomicfoundation,agoraxyz,0.0,0.0
prettier-solidity,agoraxyz,0.0,0.0
openzeppelin,agoraxyz,0.0,0.0
openzeppelin,agoraxyz,0.0,0.0
openzeppelin,agoraxyz,0.0,0.0
